Post, Summary, Read 
An earthquake lasted 32 years, and scientists want to know how . ., 
                    When a magnitude 8.5 mega-earthquake struck off the Indonesian island of Sumatra in February 1861, 
                    it caused the land to convulse, stirring up a wall of water that crashed on nearby shores and killed 
                    thousands of people.
                  , https://www.nationalgeographic.com/science/article/an-earthquake-lasted-32-years-and-scientists-want-to-know-how?utm_source=pocket-newtab-intl-en 
Amazing Natural Experiment: In This Amazonian Tribe, Brains Don't Age Like Ours . ., 
                    The Tsimane, an indigenous people who live in the Bolivian peripheries of the Amazon rainforest, lead 
                    lives that are very different to ours. They seem to be much healthier for it.
                  , https://www.sciencealert.com/amazing-natural-experiment-in-this-amazonian-tribe-brains-don-t-shrink-like-ours?utm_source=pocket-newtab-intl-en 
